id;model;year;plate;driver_login
1;SMS Sapatos;1963;Assistant;Filipinas
2;backing collaborative Avon;59835;panel rosa Bedfordshire;Officer
3;payment;47291;Música index Architect;Lead Riyal programming
4;Investment Avon parsing;57476;Santa neural;visualize Goiás rosa
5;Human mobile Alagoas;5570;zero;back-end
6;transitional;55531;Alagoas;Mouse Pizza Avenida
7;copying;5501;PNG;Gostoso
8;Algodão needs-based;74625;applications âmbar;parsing Travessa Dominica
9;cenoura matrices cultivate;58565;Ferramentas structure Decentralized;verde Multi-channelled Metal
10;action-items Berkshire GB;86756;prata port District;Prático
