id;passenger_login;status;created_at;updated_at;trip_id
1;Queijo navigate;CANCELED;2022-09-24T16:26:43;2022-09-24T11:02:59;6
2;Triple-buffered;CANCELED;2022-09-24T20:05:17;2022-09-24T03:49:04;6
3;Cazaquistão;CONFIRMED;2022-09-24T07:24:30;2022-09-24T08:49:21;6
4;Investor Security Web;CANCELED;2022-09-24T17:02:07;2022-09-24T13:13:47;6
5;castanho seamless connecting;CANCELED;2022-09-24T11:18:11;2022-09-24T08:17:39;6
6;Accounts cohesive;CONFIRMED;2022-09-24T14:41:40;2022-09-24T10:22:52;7
7;Incrível TCP Granito;CANCELED;2022-09-24T12:35:11;2022-09-24T08:43:08;7
8;reboot matrix synergies;CANCELED;2022-09-24T17:53:40;2022-09-24T11:53:04;7
9;THX generating;CONFIRMED;2022-09-24T22:53:25;2022-09-24T09:28:00;7
10;Bedfordshire compress;CONFIRMED;2022-09-24T22:29:54;2022-09-24T10:24:06;7
