id;driver_login;jhi_when;destination_type;available_seats;price;meeting_point;created_at;vehicle_id;from_id;to_id
1;Architect;2022-09-24T08:30:14;HOME;92806;230;invoice Avon Division;2022-09-24T15:23:24;1;1;1
2;array Assurance;2022-09-23T19:23:31;LOCATION;76081;46966;parse wireless;2022-09-23T20:29:42;2;2;2
3;marrom recontextualize;2022-09-23T18:27:29;HOME;36550;43438;Avenida back Refinado;2022-09-24T07:44:30;3;3;3
4;Brunei Executive;2022-09-24T13:03:13;HOME;22902;11629;EXE;2022-09-24T12:16:45;4;4;4
5;sensor;2022-09-24T11:18:06;HOME;35031;59693;deposit synthesizing Public-key;2022-09-24T16:51:29;5;5;5
6;parse Graphic;2022-09-23T23:07:10;LOCATION;56883;52032;reboot SCSI;2022-09-24T02:42:25;6;6;6
7;Fantástico fault-tolerant;2022-09-24T15:58:24;LOCATION;58901;24370;Borracha transparent Global;2022-09-24T05:06:47;7;7;7
8;time-frame digital front-end;2022-09-24T08:11:13;HOME;84980;9187;Savings generating marca;2022-09-24T05:14:26;8;8;8
9;indexing policy help-desk;2022-09-24T13:36:54;LOCATION;71148;84558;Versatile platforms;2022-09-23T23:50:19;9;9;9
10;platforms;2022-09-24T16:42:18;HOME;30435;91902;navigate Investor copying;2022-09-24T17:04:54;10;10;10
